id,label,formids,users,roles,sortby,enumerators,caseid,province,municipality,barangay,zone,brgy_prefix,hh_resp_name,hh_resp_gender,hh_head
H019575021,H019575021-Roberto Bautista Luna,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575021,CAPIZ,SIGMA,Oyong,,H019575,Roberto Bautista Luna,,Amelia Del Rosario Santos
H019575022,H019575022-Edna Luna Macaraeg,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575022,CAPIZ,SIGMA,Oyong,,H019575,Edna Luna Macaraeg,,Edna Luna Macaraeg
H019575025,H019575025-Consuelo Villanueva Ramos,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575025,CAPIZ,SIGMA,Oyong,,H019575,Consuelo Villanueva Ramos,,Consuelo Villanueva Ramos
H019575026,H019575026-Leonora Mendoza Delos Reyes,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575026,CAPIZ,SIGMA,Oyong,,H019575,Leonora Mendoza Delos Reyes,,Leonora Mendoza Delos Reyes
H019575027,H019575027-Ana Espiritu Pascual,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575027,CAPIZ,SIGMA,Oyong,,H019575,Ana Espiritu Pascual,,Ana Espiritu Pascual
H019575028,H019575028-Norma Aquino Espiritu,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575028,CAPIZ,SIGMA,Oyong,,H019575,Norma Aquino Espiritu,,Imelda Panganiban Luna
H019575029,H019575029-Marita Buenaventura Manalang,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575029,CAPIZ,SIGMA,Oyong,,H019575,Marita Buenaventura Manalang,,Marita Buenaventura Manalang
H019575031,H019575031-Danilo Evangelista Villanueva,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575031,CAPIZ,SIGMA,Oyong,,H019575,Danilo Evangelista Villanueva,,Danilo Evangelista Villanueva
H019575032,H019575032-Reynaldo Manalang De la Rosa,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575032,CAPIZ,SIGMA,Oyong,,H019575,Reynaldo Manalang De la Rosa,,Pacita Castillo Ramos
H019575034,H019575034-Incarnacion Cruz Mendoza,"ICM_follow_up_launch,ICM_Business_linked_launch",team_f,,,,H019575034,CAPIZ,SIGMA,Oyong,,H019575,Incarnacion Cruz Mendoza,,Incarnacion Cruz Mendoza
H030129016,H030129016-Eduardo Bautista Macaraeg,ICM_follow_up_launch,team_a,,,,H030129016,ILOILO,LEGANES,Nabitasan,,H030129,Eduardo Bautista Macaraeg,,Rustico Macaraeg Dela Cruz
H030129017,H030129017-Asuncion Villanueva Aquino,ICM_follow_up_launch,team_a,,,,H030129017,ILOILO,LEGANES,Nabitasan,,H030129,Asuncion Villanueva Aquino,,Rafael Castillo Espiritu
H030129018,H030129018-Lorna Cruz Cruz,ICM_follow_up_launch,team_a,,,,H030129018,ILOILO,LEGANES,Nabitasan,,H030129,Lorna Cruz Cruz,,Rustico Villanueva Torres
H030129020,H030129020-Rolando Gomez Cruz,ICM_follow_up_launch,team_a,,,,H030129020,ILOILO,LEGANES,Nabitasan,,H030129,Rolando Gomez Cruz,,Rolando Gomez Cruz
H030129022,H030129022-Danilo Pascual Dela Torre,ICM_follow_up_launch,team_a,,,,H030129022,ILOILO,LEGANES,Nabitasan,,H030129,Danilo Pascual Dela Torre,,Ronaldo Evangelista Lopez
H030129023,H030129023-Maria De Leon Torres,ICM_follow_up_launch,team_a,,,,H030129023,ILOILO,LEGANES,Nabitasan,,H030129,Maria De Leon Torres,,Maria De Leon Torres
H030129025,H030129025-Juan Torres Panganiban,ICM_follow_up_launch,team_a,,,,H030129025,ILOILO,LEGANES,Nabitasan,,H030129,Juan Torres Panganiban,,Juan Torres Panganiban
H030129026,H030129026-Maricel Lapuz Dela Cruz,ICM_follow_up_launch,team_a,,,,H030129026,ILOILO,LEGANES,Nabitasan,,H030129,Maricel Lapuz Dela Cruz,,Cecilia Evangelista Manalang
H030129028,H030129028-Rodel Pascual De la Rosa,ICM_follow_up_launch,team_a,,,,H030129028,ILOILO,LEGANES,Nabitasan,,H030129,Rodel Pascual De la Rosa,,Teresita Morales De Jesus
H030129029,H030129029-Luz De Leon Torres,ICM_follow_up_launch,team_a,,,,H030129029,ILOILO,LEGANES,Nabitasan,,H030129,Luz De Leon Torres,,Cecilia De Leon Gomez
H030129031,H030129031-Luz Lapuz Lopez,ICM_follow_up_launch,team_a,,,,H030129031,ILOILO,LEGANES,Nabitasan,,H030129,Luz Lapuz Lopez,,Gloria Espiritu Ocampo
H030129032,H030129032-Teresita Gomez Castillo,ICM_follow_up_launch,team_a,,,,H030129032,ILOILO,LEGANES,Nabitasan,,H030129,Teresita Gomez Castillo,,Teresita Gomez Castillo
H030129035,H030129035-Herminia Gomez Luna,ICM_follow_up_launch,team_a,,,,H030129035,ILOILO,LEGANES,Nabitasan,,H030129,Herminia Gomez Luna,,Herminia Gomez Luna
H030129080,H030129080-Rafael Dela Cruz Lopez,ICM_follow_up_launch,team_a,,,,H030129080,ILOILO,LEGANES,Nabitasan,,H030129,Rafael Dela Cruz Lopez,,Evelyn Flores Aquino
H030129081,H030129081-Marilyn Bautista Santos,ICM_follow_up_launch,team_a,,,,H030129081,ILOILO,LEGANES,Nabitasan,,H030129,Marilyn Bautista Santos,,Fernando Manalang Delos Reyes
H030255016,H030255016-Joy Flores Villanueva,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255016,ILOILO,OTON,Santa Clara,,H030255,Joy Flores Villanueva,,Joy Flores Villanueva
H030255017,H030255017-Alfredo Torres Torres,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255017,ILOILO,OTON,Santa Clara,,H030255,Alfredo Torres Torres,,Alfredo Torres Torres
H030255018,H030255018-Linda Gomez Gomez,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255018,ILOILO,OTON,Santa Clara,,H030255,Linda Gomez Gomez,,Cynthia Dela Cruz Reyes
H030255019,H030255019-Maricel Del Rosario Villanueva,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255019,ILOILO,OTON,Santa Clara,,H030255,Maricel Del Rosario Villanueva,,Fe Morales Cruz
H030255020,H030255020-Gina Cruz Panganiban,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255020,ILOILO,OTON,Santa Clara,,H030255,Gina Cruz Panganiban,,Marita Espiritu Santos
H030255021,H030255021-Elvira Evangelista Torres,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255021,ILOILO,OTON,Santa Clara,,H030255,Elvira Evangelista Torres,,Elvira Evangelista Torres
H030255022,H030255022-Dolores Lopez Gomez,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255022,ILOILO,OTON,Santa Clara,,H030255,Dolores Lopez Gomez,,Faith Luna Garcia
H030255023,H030255023-Hope Reyes Bautista,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255023,ILOILO,OTON,Santa Clara,,H030255,Hope Reyes Bautista,,Hope Reyes Bautista
H030255024,H030255024-Linda Lapuz Manalang,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255024,ILOILO,OTON,Santa Clara,,H030255,Linda Lapuz Manalang,,Linda Lapuz Manalang
H030255025,H030255025-Adoracion Aquino Villanueva,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255025,ILOILO,OTON,Santa Clara,,H030255,Adoracion Aquino Villanueva,,Adoracion Aquino Villanueva
H030255028,H030255028-Juan Garcia Villanueva,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255028,ILOILO,OTON,Santa Clara,,H030255,Juan Garcia Villanueva,,Corazon Castillo De Guzman
H030255030,H030255030-Romulo Espiritu Magsaysay,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255030,ILOILO,OTON,Santa Clara,,H030255,Romulo Espiritu Magsaysay,,Maria Buenaventura Manalang
H030255034,H030255034-Asuncion Macapagal Ocampo,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255034,ILOILO,OTON,Santa Clara,,H030255,Asuncion Macapagal Ocampo,,Evelyn Castillo Dela Cruz
H030255035,H030255035-Adoracion Panganiban Torres,"ICM_follow_up_launch,ICM_Business_linked_launch",team_d,,,,H030255035,ILOILO,OTON,Santa Clara,,H030255,Adoracion Panganiban Torres,,Adoracion Panganiban Torres
H030375016,H030375016-Erlinda Pascual Pascual,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375016,ILOILO,OTON,Galang,,H030375,Erlinda Pascual Pascual,,Erlinda Pascual Pascual
H030375018,H030375018-Marilou Flores Torres,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375018,ILOILO,OTON,Galang,,H030375,Marilou Flores Torres,,Marilou Flores Torres
H030375019,H030375019-Corazon Macapagal San Pedro,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375019,ILOILO,OTON,Galang,,H030375,Corazon Macapagal San Pedro,,Rodolfo Espiritu Pascual
H030375020,H030375020-Ruben Flores Lopez,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375020,ILOILO,OTON,Galang,,H030375,Ruben Flores Lopez,,Ruben Flores Lopez
H030375021,H030375021-Amelia Lapuz San Pedro,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375021,ILOILO,OTON,Galang,,H030375,Amelia Lapuz San Pedro,,Amelia Lapuz San Pedro
H030375022,H030375022-Leonora Luna Ocampo,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375022,ILOILO,OTON,Galang,,H030375,Leonora Luna Ocampo,,Consuelo Flores Evangelista
H030375023,H030375023-Fernando Cruz Buenaventura,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375023,ILOILO,OTON,Galang,,H030375,Fernando Cruz Buenaventura,,Marilyn Buenaventura Buenaventura
H030375024,H030375024-Jose Del Rosario Castillo,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375024,ILOILO,OTON,Galang,,H030375,Jose Del Rosario Castillo,,Jose Del Rosario Castillo
H030375027,H030375027-Teresita De Leon Ocampo,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375027,ILOILO,OTON,Galang,,H030375,Teresita De Leon Ocampo,,Florencia Magsaysay Bautista
H030375028,H030375028-Elena Villanueva Reyes,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375028,ILOILO,OTON,Galang,,H030375,Elena Villanueva Reyes,,Fe Bautista Magsaysay
H030375029,H030375029-Ronaldo Cruz Dela Cruz,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375029,ILOILO,OTON,Galang,,H030375,Ronaldo Cruz Dela Cruz,,Ronaldo Cruz Dela Cruz
H030375031,H030375031-Edna Espiritu Ocampo,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375031,ILOILO,OTON,Galang,,H030375,Edna Espiritu Ocampo,,Edna Espiritu Ocampo
H030375033,H030375033-Eduardo Buenaventura Delos Reyes,"ICM_follow_up_launch,ICM_Business_linked_launch",team_c,,,,H030375033,ILOILO,OTON,Galang,,H030375,Eduardo Buenaventura Delos Reyes,,Eduardo Buenaventura Delos Reyes
